PID,SID,OID,LLO,LCO,NAME_SI,NAME_TA,NAME_EN,Old Code
36,1,368,1-1-03-005,005,සම්මන්ත්‍රණපුර,சம்மந்திரணபுர,Sammanthranapura,
36,2,369,1-1-03-010,010,මට්ටක්කුලිය,மட்டக்குளி,Mattakkuliya,C26
36,3,370,1-1-03-015,015,මෝදර,மோத‍ரை,Modara,C27
36,4,371,1-1-03-020,020,මාදම්පිටිය,மாதம்பிட்டிய,Madampitiya,C19
36,5,372,1-1-03-025,025,මහවත්ත,மஹவத்தை,Mahawatta,C20
36,6,373,1-1-03-030,030,අළුත්මාවත,அளுத்மாவத்தை,Aluthmawatha,C3
36,7,374,1-1-03-035,035,ලුණුපොකුණ,ளுணுபொக்குண,Lunupokuna,C18
36,8,375,1-1-03-040,040,බ්ලූමැන්ඩල්,புளூமெண்டல்,Bloemendhal,C4
36,9,376,1-1-03-045,045,කොටහේන නැගෙනහිර,கொட்டாஞ்‍சேணை கிழக்கு,Kotahena East,C16
36,10,377,1-1-03-050,050,කොටහේන බටහිර,கொட்டாஞ்‍சேணை ‍மேற்கு,Kotahena West,C17
36,11,378,1-1-03-055,055,කොච්චිකඩේ උතුර,கொச்சிகடை வடக்கு,Kochchikade North,C14
36,12,379,1-1-03-060,060,ජින්තුපිටිය,ஜிந்துப்பிட்டி,Jinthupitiya,C11
36,13,380,1-1-03-065,065,මසංගස් වීදිය​,மசங்கஸ் வீதி,Massangar Street,C25
36,14,381,1-1-03-070,070,නිව් බසාර්,புதிய பசார்,New Bazaar,C29
36,15,382,1-1-03-075,075,ග්‍රෑන්ඩ්පාස් දකුණ,கி‍ரேண்ட்பாஸ் தெற்கு,Grandpass South,C8
36,16,383,1-1-03-080,080,ග්‍රෑන්ඩ්පාස් උතුර,கி‍ரேண்ட்பாஸ் வடக்கு,Grandpass North,C7
36,17,384,1-1-03-085,085,නවගම්පුර,நவகம்புர,Nawagampura,C28
36,18,385,1-1-03-090,090,මාලිගාවත්ත නැගෙනහිර,மாளிகாவத்தை கிழக்கு,Maligawatta East,C22
36,19,386,1-1-03-095,095,ඛෙත්තාරාම,கெத்தாராமை,Kettarama,C13
36,20,387,1-1-03-100,100,අළුත්කඩේ නැගෙනහිර,புதுக்கடை கிழக்கு,Aluthkade East,C2
36,21,388,1-1-03-105,105,අළුත්කඩේ බටහිර,புதுக்கடை ‍மேற்கு,Aluthkade West,C2
36,22,389,1-1-03-110,110,කොච්චිකඩේ දකුණ,கொச்சிக்கடை தெற்கு,Kochchikade South,C15
36,23,390,1-1-03-115,115,පිටකොටුව,புறக்‍கோட்டை,Pettah,C31
36,24,391,1-1-03-120,120,කොටුව,கோட்டை,Fort,C5
36,25,392,1-1-03-125,125,ගාලුමුවදොර,காலி முகத்துவாரம,Galle Face,C6
36,26,393,1-1-03-130,130,කොම්පඤ්ඤ වීදිය,கொம்பணித்தெரு,Slave Island,C33
36,27,394,1-1-03-135,135,හුණුපිටිය,ஹுணுப்பிட்டிய,Hunupitiya,C9
36,28,395,1-1-03-140,140,සුදුවැල්ල,சுதுவெல்ல,Suduwella,C34
36,29,396,1-1-03-145,145,කෙසෙල්වත්ත,வாழைத்‍தோட்டம் (கெசெல்வத்த),Keselwatta,C12
36,30,397,1-1-03-150,150,පංචිකාවත්ත,பஞ்சிக்காவத்தை,Panchikawatta,C30
36,31,398,1-1-03-155,155,මාලිගාවත්ත බටහිර,மாளிகாவத்தை ‍மேற்கு,Maligawatta West,C23
36,32,399,1-1-03-160,160,මාලිගාකන්ද,மாளிகாகந்தை,Maligakanda,C21
